,euctr_id,title,reg_date,other_id,field,provenance
48,2004-004024-12, Efficacy of the EGFR antibody Cetuximab in combination with weekly Oxaliplatin/5FU/Folinsäure (AIO-FUFOX) in advanced gastro-oesophageal adenocarcinoma,17-02-2005,NA,ISRCTN number,results
49,2004-004086-15," Comparison of nephrotoxic effects of the contrast dyes iodixanol (iso-osmolar, non-ionic, dimer) and ioversol (low-osmolar, non-ionic, monomer) in patients with impaired renal function and severe heart failure",17-05-2005,NA,US NCT number,protocol
50,2004-004086-15," Comparison of nephrotoxic effects of the contrast dyes iodixanol (iso-osmolar, non-ionic, dimer) and ioversol (low-osmolar, non-ionic, monomer) in patients with impaired renal function and severe heart failure",17-05-2005,NA,other,protocol
51,2004-004086-15," Comparison of nephrotoxic effects of the contrast dyes iodixanol (iso-osmolar, non-ionic, dimer) and ioversol (low-osmolar, non-ionic, monomer) in patients with impaired renal function and severe heart failure",17-05-2005,NA,US NCT number,results
52,2004-004086-15," Comparison of nephrotoxic effects of the contrast dyes iodixanol (iso-osmolar, non-ionic, dimer) and ioversol (low-osmolar, non-ionic, monomer) in patients with impaired renal function and severe heart failure",17-05-2005,NA,ISRCTN number,results
53,2004-004129-89, Potentiation of procedural motor learning by pharmacological neuromodulation and brain stimulation ,08-08-2005,NA,US NCT number,protocol
54,2004-004129-89, Potentiation of procedural motor learning by pharmacological neuromodulation and brain stimulation ,08-08-2005,NA,other,protocol
55,2004-004129-89, Potentiation of procedural motor learning by pharmacological neuromodulation and brain stimulation ,08-08-2005,NA,US NCT number,results
56,2004-004129-89, Potentiation of procedural motor learning by pharmacological neuromodulation and brain stimulation ,08-08-2005,NA,ISRCTN number,results
57,2004-004320-13," RANDOMIZED PHASE III-STUDY ON VALPROIC ACID IN COMBINATION WITH ALL-TRANS RETINOIC ACID, STANDARD INDUCTION- AND CONSOLIDATION THERAPY IN OLDER PATIENTS WITH NEWLY DIAGNOSED ACUTE MYELOID LEUKEMIA",25-07-2005,NA,US NCT number,protocol
58,2004-004320-13," RANDOMIZED PHASE III-STUDY ON VALPROIC ACID IN COMBINATION WITH ALL-TRANS RETINOIC ACID, STANDARD INDUCTION- AND CONSOLIDATION THERAPY IN OLDER PATIENTS WITH NEWLY DIAGNOSED ACUTE MYELOID LEUKEMIA",25-07-2005,NA,other,protocol
59,2004-004320-13," RANDOMIZED PHASE III-STUDY ON VALPROIC ACID IN COMBINATION WITH ALL-TRANS RETINOIC ACID, STANDARD INDUCTION- AND CONSOLIDATION THERAPY IN OLDER PATIENTS WITH NEWLY DIAGNOSED ACUTE MYELOID LEUKEMIA",25-07-2005,NA,US NCT number,results
60,2004-004320-13," RANDOMIZED PHASE III-STUDY ON VALPROIC ACID IN COMBINATION WITH ALL-TRANS RETINOIC ACID, STANDARD INDUCTION- AND CONSOLIDATION THERAPY IN OLDER PATIENTS WITH NEWLY DIAGNOSED ACUTE MYELOID LEUKEMIA",25-07-2005,NA,ISRCTN number,results
61,2004-004321-95," RANDOMIZED PHASE II-STUDY ON VALPROIC ACID, ALL-TRANS RETINOIC ACID AND THEIR COMBINATION IN INDUCTION AND CONSOLIDATION THERAPY AS WELL AS PEGFILGRASTIM AFTER CONSOLIDATION THERAPY IN YOUNGER PATIENTS WITH NEWLY DIAGNOSED ACUTE MYELOID LEUKEMIA",21-04-2005,NA,US NCT number,protocol
62,2004-004321-95," RANDOMIZED PHASE II-STUDY ON VALPROIC ACID, ALL-TRANS RETINOIC ACID AND THEIR COMBINATION IN INDUCTION AND CONSOLIDATION THERAPY AS WELL AS PEGFILGRASTIM AFTER CONSOLIDATION THERAPY IN YOUNGER PATIENTS WITH NEWLY DIAGNOSED ACUTE MYELOID LEUKEMIA",21-04-2005,NA,other,protocol
63,2004-004321-95," RANDOMIZED PHASE II-STUDY ON VALPROIC ACID, ALL-TRANS RETINOIC ACID AND THEIR COMBINATION IN INDUCTION AND CONSOLIDATION THERAPY AS WELL AS PEGFILGRASTIM AFTER CONSOLIDATION THERAPY IN YOUNGER PATIENTS WITH NEWLY DIAGNOSED ACUTE MYELOID LEUKEMIA",21-04-2005,NA,US NCT number,results
64,2004-004321-95," RANDOMIZED PHASE II-STUDY ON VALPROIC ACID, ALL-TRANS RETINOIC ACID AND THEIR COMBINATION IN INDUCTION AND CONSOLIDATION THERAPY AS WELL AS PEGFILGRASTIM AFTER CONSOLIDATION THERAPY IN YOUNGER PATIENTS WITH NEWLY DIAGNOSED ACUTE MYELOID LEUKEMIA",21-04-2005,NA,ISRCTN number,results
65,2004-004352-40, Einfluss einer präoperativen Vakzinierung auf das Immunsystem und die postoperative Infektionsrate,30-11-2004,NA,US NCT number,protocol
66,2004-004352-40, Einfluss einer präoperativen Vakzinierung auf das Immunsystem und die postoperative Infektionsrate,30-11-2004,NA,other,protocol
67,2004-004352-40, Einfluss einer präoperativen Vakzinierung auf das Immunsystem und die postoperative Infektionsrate,30-11-2004,NA,US NCT number,results
68,2004-004352-40, Einfluss einer präoperativen Vakzinierung auf das Immunsystem und die postoperative Infektionsrate,30-11-2004,NA,ISRCTN number,results
69,2004-004403-37," Eine monozentrische, randomisierte, kontrollierte Studie zur Untersuchung von Interferon-beta zur Behandlung der Multiplen-Sklerose (MS)-assoziierten und primären Uveitis intermedia im Vergleich zur Standardtherapie",28-10-2005,NA,US NCT number,protocol
70,2004-004403-37," Eine monozentrische, randomisierte, kontrollierte Studie zur Untersuchung von Interferon-beta zur Behandlung der Multiplen-Sklerose (MS)-assoziierten und primären Uveitis intermedia im Vergleich zur Standardtherapie",28-10-2005,NA,other,protocol
71,2004-004403-37," Eine monozentrische, randomisierte, kontrollierte Studie zur Untersuchung von Interferon-beta zur Behandlung der Multiplen-Sklerose (MS)-assoziierten und primären Uveitis intermedia im Vergleich zur Standardtherapie",28-10-2005,NA,US NCT number,results
72,2004-004403-37," Eine monozentrische, randomisierte, kontrollierte Studie zur Untersuchung von Interferon-beta zur Behandlung der Multiplen-Sklerose (MS)-assoziierten und primären Uveitis intermedia im Vergleich zur Standardtherapie",28-10-2005,NA,ISRCTN number,results
73,2004-004482-15, Hirnaktivierung während Gedächtnisaufgaben bei Patienten mit Schizophrenie unter Behandlung von Ziprasidon oder Risperidon. Eine FMRT-Untersuchung.,25-01-2006,NA,US NCT number,protocol
74,2004-004482-15, Hirnaktivierung während Gedächtnisaufgaben bei Patienten mit Schizophrenie unter Behandlung von Ziprasidon oder Risperidon. Eine FMRT-Untersuchung.,25-01-2006,NA,other,protocol
75,2004-004482-15, Hirnaktivierung während Gedächtnisaufgaben bei Patienten mit Schizophrenie unter Behandlung von Ziprasidon oder Risperidon. Eine FMRT-Untersuchung.,25-01-2006,NA,US NCT number,results
76,2004-004482-15, Hirnaktivierung während Gedächtnisaufgaben bei Patienten mit Schizophrenie unter Behandlung von Ziprasidon oder Risperidon. Eine FMRT-Untersuchung.,25-01-2006,NA,ISRCTN number,results
77,2004-004509-11, Efficiency and tolerability of L-Dopa in patients with Hereditary Spastic Paraplegia (HSP),06-09-2005,NA,US NCT number,protocol
78,2004-004509-11, Efficiency and tolerability of L-Dopa in patients with Hereditary Spastic Paraplegia (HSP),06-09-2005,NA,other,protocol
79,2004-004509-11, Efficiency and tolerability of L-Dopa in patients with Hereditary Spastic Paraplegia (HSP),06-09-2005,NA,US NCT number,results
80,2004-004509-11, Efficiency and tolerability of L-Dopa in patients with Hereditary Spastic Paraplegia (HSP),06-09-2005,NA,ISRCTN number,results
81,2004-004796-11," An Open-Label, Non-Randomized, Single center Study to Evaluate the Use of Zoledronic Acid in the Prevention of Cancer Treatment-Related Bone Loss in Postmenopausal Women with ER+ and/or PgR+ Breast Cancer Receiving Letrozole as Adjuvant Therapy",29-01-2007,NA,US NCT number,protocol
82,2004-004796-11," An Open-Label, Non-Randomized, Single center Study to Evaluate the Use of Zoledronic Acid in the Prevention of Cancer Treatment-Related Bone Loss in Postmenopausal Women with ER+ and/or PgR+ Breast Cancer Receiving Letrozole as Adjuvant Therapy",29-01-2007,NA,other,protocol
83,2004-004796-11," An Open-Label, Non-Randomized, Single center Study to Evaluate the Use of Zoledronic Acid in the Prevention of Cancer Treatment-Related Bone Loss in Postmenopausal Women with ER+ and/or PgR+ Breast Cancer Receiving Letrozole as Adjuvant Therapy",29-01-2007,NA,US NCT number,results
84,2004-004796-11," An Open-Label, Non-Randomized, Single center Study to Evaluate the Use of Zoledronic Acid in the Prevention of Cancer Treatment-Related Bone Loss in Postmenopausal Women with ER+ and/or PgR+ Breast Cancer Receiving Letrozole as Adjuvant Therapy",29-01-2007,NA,ISRCTN number,results
85,2004-004824-11," Role for pimecrolimus in restoring skin barrier function and normalizing epidermal lipid content and differentiation in atopic epidermis: a randomized, intra-patient, double-blind (right/left arm) study in adults with atopic dermatitis treated with 1% pimecrolimus cream and 0.1 % betamethasone cream as treatment control twice daily for 3 weeks",04-10-2005,NA,US NCT number,protocol
86,2004-004824-11," Role for pimecrolimus in restoring skin barrier function and normalizing epidermal lipid content and differentiation in atopic epidermis: a randomized, intra-patient, double-blind (right/left arm) study in adults with atopic dermatitis treated with 1% pimecrolimus cream and 0.1 % betamethasone cream as treatment control twice daily for 3 weeks",04-10-2005,NA,other,protocol
87,2004-004824-11," Role for pimecrolimus in restoring skin barrier function and normalizing epidermal lipid content and differentiation in atopic epidermis: a randomized, intra-patient, double-blind (right/left arm) study in adults with atopic dermatitis treated with 1% pimecrolimus cream and 0.1 % betamethasone cream as treatment control twice daily for 3 weeks",04-10-2005,NA,US NCT number,results
88,2004-004824-11," Role for pimecrolimus in restoring skin barrier function and normalizing epidermal lipid content and differentiation in atopic epidermis: a randomized, intra-patient, double-blind (right/left arm) study in adults with atopic dermatitis treated with 1% pimecrolimus cream and 0.1 % betamethasone cream as treatment control twice daily for 3 weeks",04-10-2005,NA,ISRCTN number,results
89,2004-004953-24, A double-blind placebo-controlled two period crossover study of pregabalin and aprepitant in the electrical hyperalgesia model of central sensitisation in healthy volunteers,15-09-2005,NA,US NCT number,protocol
90,2004-004953-24, A double-blind placebo-controlled two period crossover study of pregabalin and aprepitant in the electrical hyperalgesia model of central sensitisation in healthy volunteers,15-09-2005,NA,other,protocol
91,2004-004953-24, A double-blind placebo-controlled two period crossover study of pregabalin and aprepitant in the electrical hyperalgesia model of central sensitisation in healthy volunteers,15-09-2005,NA,US NCT number,results
92,2004-004953-24, A double-blind placebo-controlled two period crossover study of pregabalin and aprepitant in the electrical hyperalgesia model of central sensitisation in healthy volunteers,15-09-2005,NA,ISRCTN number,results
93,2004-005020-41, Topische Anwendung von Tacrolimus (Protopic) bei verschiedenen Formen des kutanen Lupus erythe-matodes im Rahmen einer klinischen Untersuchung an mehreren nationalen Zentren,30-12-2004,NA,US NCT number,protocol
94,2004-005020-41, Topische Anwendung von Tacrolimus (Protopic) bei verschiedenen Formen des kutanen Lupus erythe-matodes im Rahmen einer klinischen Untersuchung an mehreren nationalen Zentren,30-12-2004,NA,other,protocol
95,2004-005020-41, Topische Anwendung von Tacrolimus (Protopic) bei verschiedenen Formen des kutanen Lupus erythe-matodes im Rahmen einer klinischen Untersuchung an mehreren nationalen Zentren,30-12-2004,NA,US NCT number,results
96,2004-005020-41, Topische Anwendung von Tacrolimus (Protopic) bei verschiedenen Formen des kutanen Lupus erythe-matodes im Rahmen einer klinischen Untersuchung an mehreren nationalen Zentren,30-12-2004,NA,ISRCTN number,results
97,2004-005078-22," Quetiapin: Zur Sicherheit, Verträglichkeit und zum Einfluss auf kognitive Funktionen bei Patienten/innen mit einer schizophrenen Psychose ",14-04-2005,NA,US NCT number,protocol
98,2004-005078-22," Quetiapin: Zur Sicherheit, Verträglichkeit und zum Einfluss auf kognitive Funktionen bei Patienten/innen mit einer schizophrenen Psychose ",14-04-2005,NA,other,protocol
99,2004-005078-22," Quetiapin: Zur Sicherheit, Verträglichkeit und zum Einfluss auf kognitive Funktionen bei Patienten/innen mit einer schizophrenen Psychose ",14-04-2005,NA,US NCT number,results
100,2004-005078-22," Quetiapin: Zur Sicherheit, Verträglichkeit und zum Einfluss auf kognitive Funktionen bei Patienten/innen mit einer schizophrenen Psychose ",14-04-2005,NA,ISRCTN number,results
101,2004-005172-17, Renal haemodynamics during application of contrast media in patients undergoing cardiac catheterisation with high risk of acute renal failure: randomized comparison of different contrast media,22-05-2006,NA,US NCT number,protocol
102,2004-005172-17, Renal haemodynamics during application of contrast media in patients undergoing cardiac catheterisation with high risk of acute renal failure: randomized comparison of different contrast media,22-05-2006,NA,other,protocol
103,2004-005172-17, Renal haemodynamics during application of contrast media in patients undergoing cardiac catheterisation with high risk of acute renal failure: randomized comparison of different contrast media,22-05-2006,NA,US NCT number,results
104,2004-005172-17, Renal haemodynamics during application of contrast media in patients undergoing cardiac catheterisation with high risk of acute renal failure: randomized comparison of different contrast media,22-05-2006,NA,ISRCTN number,results
105,2004-005197-23, Funktionelle Ergebnisse der intravitrealen Injektion von Triamcinolonacetonid im Vergleich zur konventionellen Lasertherapie bei diabetischem Makulaödem.,17-05-2006,NA,US NCT number,protocol
106,2004-005197-23, Funktionelle Ergebnisse der intravitrealen Injektion von Triamcinolonacetonid im Vergleich zur konventionellen Lasertherapie bei diabetischem Makulaödem.,17-05-2006,NA,other,protocol
107,2004-005197-23, Funktionelle Ergebnisse der intravitrealen Injektion von Triamcinolonacetonid im Vergleich zur konventionellen Lasertherapie bei diabetischem Makulaödem.,17-05-2006,NA,US NCT number,results
108,2004-005197-23, Funktionelle Ergebnisse der intravitrealen Injektion von Triamcinolonacetonid im Vergleich zur konventionellen Lasertherapie bei diabetischem Makulaödem.,17-05-2006,NA,ISRCTN number,results
109,2004-005211-28, A double-blind placebo-controlled four period crossover study of paracetamol and tramadol in the electrical hyperalgesia model of central sensitisation in healthy volunteers,15-09-2005,NA,US NCT number,protocol
110,2004-005211-28, A double-blind placebo-controlled four period crossover study of paracetamol and tramadol in the electrical hyperalgesia model of central sensitisation in healthy volunteers,15-09-2005,NA,other,protocol
111,2004-005211-28, A double-blind placebo-controlled four period crossover study of paracetamol and tramadol in the electrical hyperalgesia model of central sensitisation in healthy volunteers,15-09-2005,NA,US NCT number,results
112,2004-005211-28, A double-blind placebo-controlled four period crossover study of paracetamol and tramadol in the electrical hyperalgesia model of central sensitisation in healthy volunteers,15-09-2005,NA,ISRCTN number,results
113,2004-005223-18," Evaluation of growth response in short children suffering from a disease with growth retardation and treated with Somatropin: A prospective, longitudinal non-randomised, open, phase II study ",07-03-2005,NA,US NCT number,protocol
114,2004-005223-18," Evaluation of growth response in short children suffering from a disease with growth retardation and treated with Somatropin: A prospective, longitudinal non-randomised, open, phase II study ",07-03-2005,NA,other,protocol
115,2004-005223-18," Evaluation of growth response in short children suffering from a disease with growth retardation and treated with Somatropin: A prospective, longitudinal non-randomised, open, phase II study ",07-03-2005,NA,US NCT number,results
116,2004-005223-18," Evaluation of growth response in short children suffering from a disease with growth retardation and treated with Somatropin: A prospective, longitudinal non-randomised, open, phase II study ",07-03-2005,NA,ISRCTN number,results
117,2004-005244-28, Pilotstudie zur Therapieoptimierungsstudie für den ,01-02-2005,NA,US NCT number,protocol
118,2004-005244-28, Pilotstudie zur Therapieoptimierungsstudie für den ,01-02-2005,NA,other,protocol
119,2004-005244-28, Pilotstudie zur Therapieoptimierungsstudie für den ,01-02-2005,NA,US NCT number,results
120,2004-005244-28, Pilotstudie zur Therapieoptimierungsstudie für den ,01-02-2005,NA,ISRCTN number,results
121,2005-000040-85, Erbitux Monotherapie bei Patienten mit lokoregional nicht behandelbarem Hepatozellulären Karzinom,19-01-2005,NA,US NCT number,protocol
122,2005-000040-85, Erbitux Monotherapie bei Patienten mit lokoregional nicht behandelbarem Hepatozellulären Karzinom,19-01-2005,NA,other,protocol
123,2005-000040-85, Erbitux Monotherapie bei Patienten mit lokoregional nicht behandelbarem Hepatozellulären Karzinom,19-01-2005,NA,US NCT number,results
124,2005-000040-85, Erbitux Monotherapie bei Patienten mit lokoregional nicht behandelbarem Hepatozellulären Karzinom,19-01-2005,NA,ISRCTN number,results
125,2005-000223-42, Effects of ziprasidone vs. placebo during the first four weeks of eight weeks sertraline treatment in patients with posttraumatic stress disorder (PTSD),03-11-2005,NA,US NCT number,protocol
126,2005-000223-42, Effects of ziprasidone vs. placebo during the first four weeks of eight weeks sertraline treatment in patients with posttraumatic stress disorder (PTSD),03-11-2005,NA,other,protocol
127,2005-000223-42, Effects of ziprasidone vs. placebo during the first four weeks of eight weeks sertraline treatment in patients with posttraumatic stress disorder (PTSD),03-11-2005,NA,US NCT number,results
128,2005-000223-42, Effects of ziprasidone vs. placebo during the first four weeks of eight weeks sertraline treatment in patients with posttraumatic stress disorder (PTSD),03-11-2005,NA,ISRCTN number,results
129,2005-000295-41," Double-blind,placebo-controlled cross-over study for evaluation of the efficacy of the PDE-5-inhibitor vardenafil on the peripheral perfusion and the clinical symptomatology of patients with Raynaud´s disease.",20-12-2005,NA,US NCT number,protocol
130,2005-000295-41," Double-blind,placebo-controlled cross-over study for evaluation of the efficacy of the PDE-5-inhibitor vardenafil on the peripheral perfusion and the clinical symptomatology of patients with Raynaud´s disease.",20-12-2005,NA,other,protocol
131,2005-000295-41," Double-blind,placebo-controlled cross-over study for evaluation of the efficacy of the PDE-5-inhibitor vardenafil on the peripheral perfusion and the clinical symptomatology of patients with Raynaud´s disease.",20-12-2005,NA,US NCT number,results
132,2005-000295-41," Double-blind,placebo-controlled cross-over study for evaluation of the efficacy of the PDE-5-inhibitor vardenafil on the peripheral perfusion and the clinical symptomatology of patients with Raynaud´s disease.",20-12-2005,NA,ISRCTN number,results
133,2005-000355-15, Phase I/II-study of hyperfractionated-accelerated radiation therapy (HART) plus cetuximab (CET) plus cisplatin (CIS) chemotherapy in locally advanced inoperable squamous cell cancers of head and neck.,16-03-2005,NA,US NCT number,protocol
134,2005-000355-15, Phase I/II-study of hyperfractionated-accelerated radiation therapy (HART) plus cetuximab (CET) plus cisplatin (CIS) chemotherapy in locally advanced inoperable squamous cell cancers of head and neck.,16-03-2005,NA,other,protocol
135,2005-000355-15, Phase I/II-study of hyperfractionated-accelerated radiation therapy (HART) plus cetuximab (CET) plus cisplatin (CIS) chemotherapy in locally advanced inoperable squamous cell cancers of head and neck.,16-03-2005,NA,US NCT number,results
136,2005-000355-15, Phase I/II-study of hyperfractionated-accelerated radiation therapy (HART) plus cetuximab (CET) plus cisplatin (CIS) chemotherapy in locally advanced inoperable squamous cell cancers of head and neck.,16-03-2005,ISRCTN47339346,ISRCTN number,results
137,2005-000490-21," Simultaneous Study of Gemcitabine-Docetaxel Combination adjuvant treatment, as well as Extended Bisphosphonate and Surveillance-Trial SUCCESS-Trial",07-04-2005,NA,US NCT number,protocol
138,2005-000490-21," Simultaneous Study of Gemcitabine-Docetaxel Combination adjuvant treatment, as well as Extended Bisphosphonate and Surveillance-Trial SUCCESS-Trial",07-04-2005,NA,other,protocol
139,2005-000490-21," Simultaneous Study of Gemcitabine-Docetaxel Combination adjuvant treatment, as well as Extended Bisphosphonate and Surveillance-Trial SUCCESS-Trial",07-04-2005,NA,US NCT number,results
140,2005-000490-21," Simultaneous Study of Gemcitabine-Docetaxel Combination adjuvant treatment, as well as Extended Bisphosphonate and Surveillance-Trial SUCCESS-Trial",07-04-2005,NA,ISRCTN number,results
141,2005-000570-52, Einfluss von Pioglitazon auf den 24-Stunden-Blutdruck,28-10-2005,NA,US NCT number,protocol
142,2005-000570-52, Einfluss von Pioglitazon auf den 24-Stunden-Blutdruck,28-10-2005,NA,other,protocol
143,2005-000570-52, Einfluss von Pioglitazon auf den 24-Stunden-Blutdruck,28-10-2005,NA,US NCT number,results
144,2005-000570-52, Einfluss von Pioglitazon auf den 24-Stunden-Blutdruck,28-10-2005,NA,ISRCTN number,results
145,2005-000615-99, Freiburger ZNS-NHL Studie,13-10-2006,NA,US NCT number,protocol
