nct_id,ctgov_group_code,time_frame,event_type,default_vocab,default_assessment,subjects_affected,subjects_at_risk,description,event_count,adverse_event_term,frequency_threshold,vocab,assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,1,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",1,Oedema peripheral,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,0,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",0,Oedema peripheral,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,1,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",1,Apraxia,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,0,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",0,Apraxia,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,1,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",1,Jugular vein thrombosis,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,0,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",0,Jugular vein thrombosis,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,1,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",1,Implant site abscess,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,0,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",0,Implant site abscess,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,2,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",2,Sepsis,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,0,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",0,Sepsis,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,0,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",0,Thrombocytopenia,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,1,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",1,Thrombocytopenia,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,0,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",0,Ventricular fibrillation,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,1,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",1,Ventricular fibrillation,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,0,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",0,Pyrexia,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,1,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",1,Pyrexia,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,0,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",0,Pneumonia,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,1,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",1,Pneumonia,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,0,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",0,Muscular weakness,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,1,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",1,Muscular weakness,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,0,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",0,Pneumonitis,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,1,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",1,Pneumonitis,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,0,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",0,Ileus paralytic,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,1,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",1,Ileus paralytic,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,0,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",0,Catheter related infection,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,1,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",1,Catheter related infection,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,0,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",0,Upper respiratory tract infection,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",serious,NA,NA,1,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",1,Upper respiratory tract infection,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,6,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",11,Fatigue,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,8,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",11,Fatigue,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,5,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",9,Pyrexia,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,6,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",16,Pyrexia,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,6,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",6,Infusion site pain,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,3,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",3,Infusion site pain,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,6,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",7,Oedema peripheral,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,1,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",1,Oedema peripheral,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,0,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",0,Injection site reaction,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,5,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",9,Injection site reaction,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,1,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",1,Asthenia,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,2,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",2,Asthenia,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,3,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",3,Chest pain,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,0,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",0,Chest pain,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,3,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",3,Chills,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,0,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",0,Chills,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,1,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",1,Disease progression,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,2,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",2,Disease progression,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,3,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",3,Gait disturbance,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,0,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",0,Gait disturbance,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,1,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",1,Oedema,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,2,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",2,Oedema,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,17,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",29,Nausea,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,16,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",32,Nausea,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,5,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",5,Constipation,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,9,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",10,Constipation,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,8,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",14,Vomiting,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,6,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",19,Vomiting,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,4,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",4,Diarrhoea,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,5,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",10,Diarrhoea,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,3,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",3,Dyspepsia,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,3,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",4,Dyspepsia,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,3,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",3,Abdominal pain,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,2,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",4,Abdominal pain,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,0,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",0,Abdominal discomfort,5,MedDRA,Systematic Assessment
NCT00274651,EG001,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,3,24,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",4,Abdominal discomfort,5,MedDRA,Systematic Assessment
NCT00274651,EG000,"Throughout study, up to 4 weeks after last drug administration",other,NA,NA,1,29,"Follow-up of the AE (adverse event) was required during the study and after completion, withdrawal or discontinuation of the study if the event was still ongoing. The Investigator was to continuously monitor patients with AEs until the event had returned to baseline or ≤ Grade 1 or until the patient started another type of antineoplastic therapy.",1,Gastrooesophageal reflux disease,5,MedDRA,Systematic Assessment
